,mol,flag
873,CC(C)[C@@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](CC(=O)NCCCCCCCCCNC(=O)C2=CC=C(C=C2)C(=O)NC3C(C)(C)C(OC4=CC=C(C#N)C(=C4)Cl)C3(C)C)C5=CC=C(C=C5)C6=C(C)N=CS6)C7=CC(=NO7)C,1
788,CC(C)[C@@H](NC(=O)COCCOCCOCCOCCNC(=O)C1=CC=C(CN(CC2CCCCC2)[S](=O)(=O)C3=CC=C(C=C3)[S](=O)(=O)N(CC4=CC=C(Cl)C=C4)C5CCCC5)C=C1)C(=O)N6C[C@H](O)C[C@H]6C(=O)NCC7=CC=C(C=C7)C8=C(C)N=CS8,1
591,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](NC(=O)CCCCCNC(=O)CC(=O)NC2=C(Cl)C(=CC=C2)SC3=NC=C(N=C3N)N4CCC(C)(N)CC4)C(C)(C)C)C5=CC=C(C=C5)C6=C(C)N=CS6,0
314,CN1C(=O)N(CCCCCC(=O)NC2=CC=CC3=C2CN(C4CCC(=O)NC4=O)C3=O)C(C5=CC=CC=C5)C6=CC(=CC=C16)C7=C(C)ON=C7C,1
1226,CC[N]1N=C(C=C1NC2=NC(=NC3=C2C4=C([NH]3)C=C(C(=C4)OC)C5=C(C)ON=C5C)C(=O)NCCCCNC(=O)COC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)C9CC9,1
319,CN1C(=O)N(CC2=C[N](CCOCOCCOCC(=O)NC3=CC=CC4=C3CN(C5CCC(=O)NC5=O)C4=O)N=N2)C(C6=CC=CC=C6)C7=CC(=CC=C17)C8=C(C)ON=C8C,1
413,CN(CCCNC1=NC(=NC=C1Br)NC2=CC=C(OCCOCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)C=C2)C(=O)C6CCC6,1
724,CC1=C(C=CC=C1COC2=CC(=C(CN3CCCCC3C(=O)NCCCCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C2Cl)OCC7=CC=CC(=C7)C#N)C8=CC=C9OCCOC9=C8,0
5,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)CC7=CC=C(F)C=C7,0
100,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCOCOCOCCNC(=O)CCC2=CC=C(C=C2)[S](=O)(=O)NC3=C(NC4=CC=C(I)C=C4F)N(C)C(=O)C(=C3)C)C(C)(C)C)C5=CC=C(C=C5)C6=C(C)N=CS6,1
676,CCCCN(CC1=CC=C(C=C1)C(=O)NO)C(=O)NC2=CC=C(OCCCCCCCC[N]3C=C(CCCCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)N=N3)C=C2,1
538,CN[C@H](C)C(=O)N[C@@H]1CCO[C@@H]2CC(C)(C)[C@@H](N2C1=O)C(=O)N[C@@H]3CCCC4=CC(=CC=C34)OCCOCCOCCOCC5=C[N](CCCC(=O)N6CCN(CC[C@H](CSC7=CC=CC=C7)NC8=CC=C(C=C8[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C9=CC=C(C=C9)N%10CCN(CC%10)CC%11=C(CCC(C)(C)C%11)C%12=CC=C(Cl)C=C%12)CC6)N=N5,1
